Namespace,Incident ID,Published,Incident Number,Annotator,Annotation Status,Peer Reviewer,Quality Control,Physical Objects,Entertainment Industry,"Report, Test, or Study of data",Deployed,Producer Test in Controlled Conditions,Producer Test in Operational Conditions,User Test in Controlled Conditions,User Test in Operational Conditions,Harm Domain,Tangible Harm,AI System,Clear link to technology,There is a potentially identifiable specific entity that experienced the harm,AI Harm Level,AI Tangible Harm Level Notes,Impact on Critical Services,Rights Violation,Involving Minor,Detrimental Content,Protected Characteristic,Harm Distribution Basis,Notes (special interest intangible harm),Special Interest Intangible Harm,AI System,Clear link to Technology,Harmed Class of Entities,Annotator’s AI special interest intangible harm assessment,Notes (AI special interest intangible harm),Date of Incident Year,Date of Incident Month,Date of Incident Day,Estimated Date,Multiple AI Interaction,Embedded,Location City,Location State/Province (two letters),Location Country (two letters),Location Region,Infrastructure Sectors,Operating Conditions,Notes (Environmental and Temporal Characteristics),Entities,Lives Lost,Injuries,Estimated Harm Quantities,Notes ( Tangible Harm Quantities Information),AI System Description,Data Inputs,Sector of Deployment,Public Sector Deployment,Autonomy Level,Notes (Information about AI System),Intentional Harm,Physical System Type,AI Task,AI tools and methods,Notes (AI Functionality and Techniques)
CSETv1_Annotator-3,100,True,100,007,2. Initial annotation complete,,False,no,no,no,yes,no,no,no,yes,yes,imminent risk of tangible harm (near miss) did occur,yes,yes,True,AI tangible harm near-miss,No financial harm because the money was given back,no,no,no,no,no,none,,no,yes,no,True,no,,2021,March,17,True,no,yes,,,France,Europe,"government facilities, financial services",,,"Journalist , French Welfare Offices, Journalist",,,False,,Not clear if AI - automated fraud detection algorithms,,"financial and insurance activities, administrative and support service activities",yes,Autonomy2,,No. Not intentionally designed to perform harm,,,,Fraud detection
CSETv1_Annotator-3,99,False,99,007,1. Annotation in progress,,False,no,no,no,yes,no,no,no,no,yes,"no tangible harm, near-miss, or issue",yes,yes,True,none,It could be argued that because of the “high-impact predictor” of student success — pushing Black and other minority students into “easier” classes and majors - they will face financial loss in the future (could have gotten into higher payed jobs otherwise),no,yes,no,no,yes,race,,yes,yes,yes,True,yes,,2020,,,True,no,no,,,US,North America,Other,,,"Universities in the US, University of Texas at Austin, Universities applicants of marginalized groups, Navigate \""risk\"" algorithm, Universities active students, University of Massachusetts Amherst, University of Wisconsin–Milwaukee, University of Houston, Texas A&M University",0,-1,False,Predictive AI system assigning students risk scores about potential failure to graduate in their chosen major,Predictive analytics algorithm,,"administrative and support service activities, Education",maybe,unclear,,No. Not intentionally designed to perform harm,,risk prediction,,
CSETv1_Annotator-3,98,True,98,007,4. Peer review complete,003,False,yes,no,no,yes,no,no,no,yes,yes,"no tangible harm, near-miss, or issue",maybe,yes,True,none,,no,no,no,no,no,none,,no,maybe,yes,True,no,,2021,,,True,no,maybe,NY,NY,US,North America,,,,"NYPD, NY citizens, Digidog, Boston Dynamics",0,0,False,,"Robot dog used to aid law enforcement by""going places where humans can't""",Unclear,law enforcement,yes,unclear,,No. Not intentionally designed to perform harm,Robot dog,,,
CSETv1_Annotator-3,95,False,,,,,False,no,no,no,yes,no,no,no,no,yes,,yes,,False,AI tangible harm near-miss,it is unclear based on what the algorithm denied candidates but there is a risk that is based on race or other protected values.,maybe,maybe,no,no,maybe,unclear,,maybe,yes,maybe,True,maybe,,2019,,,True,no,no,,,US,North America,Other,recruiting-technology,,"Hilton International hiring candidates, Unilever hiring candidates, job candidates using HireVue, HireVue, Hilton International, Unilever, Employers using HireVue",0,0,True,,"Hiring algorithm that uses candidates’ computer or cellphone cameras to analyze their facial movements, word choice, and speaking voice before ranking them against other applicants based on an automatically generated “employability” score.",videos,administrative and support service activities,no,unclear,I seems that it is independent but it is not exactly clear,No. Not intentionally designed to perform harm,,recruiting tool,,
CSETv1_Annotator-3,86,True,86,007,2. Initial annotation complete,,False,no,no,no,yes,no,no,no,no,yes,unclear,yes,yes,True,unclear,Unclear if any harm has occurred,no,maybe,no,no,maybe,unclear,,maybe,yes,maybe,True,maybe,,2020,September\October,,True,no,no,Dublin,,IE,Europe,government facilities,,"Ireland’s Department of Education announced that errors in the algorithm used to calculate students’ Leaving Certificate exam grades resulted in thousands of inaccurate scores - affecting government facilities.

","Ireland Department of Education , Leaving Certificate exam takers, Leaving Certificate exam , Polymetrika",0,0,True,,predicting grades - Leaving Certificate calculated grades system ,Unclear,"Education, public administration",yes,unclear,,No. Not intentionally designed to perform harm,,grade predictor,,
CSETv1_Annotator-3,84,True,84,007,4. Peer review complete,003,False,no,no,no,yes,no,yes,no,no,yes,"no tangible harm, near-miss, or issue",yes,yes,True,none,"there wasn't necessarily a type of harm, just that the AI is failing to fulfill its purpose of completely and accurately filtering out misinformation",no,no,no,yes,no,none,AI failed to prevent the spread of misinformation,yes,yes,yes,True,yes,,2020,10,9,True,no,no,,,,Global,,,"AI is involved in Facebook's fact-checking systems. Not necessarily a definitive date or location for the failure of this system.
Date of publication","Facebook users, Facebook, Avaaz",0,0,False,,Facebook relies on both human reviewers and artificial intelligence to catch posts that break its rules - misinformation,Facebook posts,information and communication,no,Autonomy1,,No. Not intentionally designed to perform harm,,fact-check,,Facebook's artificial intelligence system is used to catch posts that break its rules of misinformation
CSETv1_Annotator-3,81,True,81,007,4. Peer review complete,003,True,no,no,yes,no,yes,no,no,no,yes,"no tangible harm, near-miss, or issue",yes,yes,False,none,,no,no,no,no,yes,"race, sex, other",AI bias in health care ,yes,yes,yes,True,yes,,2020,,,True,no,no,,,,North America,,,,"Women and People of Color Patients, Chest x-ray classifier, University of Toronto, Vector Institute, MIT",0,0,False,,AI and machine learning systems that classify chest X-rays to help identify conditions like fractures and collapsed lungs,Unclear,"other, human health and social work activities",no,unclear,,No. Not intentionally designed to perform harm,x-Ray,health conditions Identificator,,
CSETv1_Annotator-3,80,True,80,007,2. Initial annotation complete,,False,yes,yes,no,yes,no,no,no,no,maybe,"no tangible harm, near-miss, or issue",yes,yes,True,none,,no,no,no,no,no,none,,no,yes,no,True,no,,2020,10,24,True,no,yes,,,Scotland,Europe,,,The camera misidentifies the ball as a bolded man standing in the field," Iverness and Ayr United fans, Inverness Caledonian Thistle Football Club, AI controlled camera",0,-1,True,,"AI-controlled camera, programmed to automatically follow the ball, removing the need for a human camera person in broadcast soccer games. The camera was supposed to track the ball automatically using AI and show footage on YouTube.",,"Arts, entertainment and recreation, information and communication",no,Autonomy1,,No. Not intentionally designed to perform harm,camera,controlled camera,,
CSETv1_Annotator-3,77,True,76,007,2. Initial annotation complete,,False,yes,no,no,yes,no,no,no,yes,yes,tangible harm definitively occurred,yes,no,True,none,"The AI robot was not linked directly to the tangible harm (the fight happened before the incident with the robot),  It is arguable that if the robot would have worked properly the tangible harm could have been minimized but important to note that the feature that would have been helpful in alerting the authorities was not an AI feature, but just the phone connection to the police",yes,no,no,no,no,none,,no,yes,no,True,no,,2019,10,,True,no,yes,LA,CA,US,North America,"government facilities, emergency services",,,"Knightscope, Injured woman, Huntington park police department, Knightscope Robocop, Cogo Guebara",0,0,True,"1 woman was injured in the context of the event, not related to AI","Robot meant to patrol a park, record surroundings, and connect users to Knightscope and then to law enforcement",videos,law enforcement,yes,Autonomy1,"A cone-shaped, 400-pound security robot on wheels",No. Not intentionally designed to perform harm,Robot ,law enforcment,unclear,"robotics; surveillance (computer vision, cell network)"
CSETv1_Annotator-3,73,True,73,007,4. Peer review complete,003,False,yes,yes,no,yes,no,no,no,no,yes,"no tangible harm, near-miss, or issue",maybe,maybe,True,none,,no,no,no,no,yes,"race, geography",,yes,maybe,yes,True,no,"players of color faced discrimination while playing Pokémon Go, based on their race.",2016,,,True,no,no,,,US,North America,,,,"Pokémon Go! players, Niantic, Inc, Pokémon Go! players",0,0,False,,augmented reality (AR) game Pokémon Go that blends virtual creatures from the Pokémon franchise with real-world locations,"GPS, video","information and communication, Arts, entertainment and recreation",no,Autonomy3,"It is unclear what data the system inputs but it seems that GPS, camera input, etc.",No. Not intentionally designed to perform harm,,augmented reality (AR) game Pokémon Go,unclear,
CSETv1_Annotator-3,72,True,72,007,4. Peer review complete,003,False,no,no,no,yes,no,no,no,no,yes,tangible harm definitively occurred,yes,yes,True,AI tangible harm event,,no,yes,no,no,no,none,,yes,yes,yes,True,yes,,2017,10,,False,no,no,Beitar Ilit,,PS,Asia,,,"Facebook's translator mistranslated ""Good morning"" in Arabic to ""attack them"""," Palestinian Facebook user, Palestinian Facebook user, Facebook, Israeli police, Facebook translation model",0,0,False,,Facebook translator,Facebook posts,information and communication,no,Autonomy3,,No. Not intentionally designed to perform harm,,Translation,unclear,"Automatic translation service offered by Facebook, which uses its own proprietary algorithms, translated the words ‘Good morning’ to “attack them” in Hebrew and “hurt them” in English."
CSETv1_Annotator-3,71,False,71,007,1. Annotation in progress,,False,yes,no,no,yes,no,yes,no,no,yes,tangible harm definitively occurred,yes,yes,True,AI tangible harm event,A Google driverless car collided with a bus ,no,no,no,no,no,none,,no,yes,no,True,no,,2018,8,,True,maybe,yes,Silicon Valley,CA,US,North America,,Driverless car,,Google driverless car,,,False,,,,,,,,,,,,
CSETv1_Annotator-3,70,True,70,007,4. Peer review complete,002,False,yes,no,no,no,no,yes,no,no,yes,non-imminent risk of tangible harm (an issue) occurred,yes,yes,True,AI tangible harm issue,"no harm occurred. 
Snow can interfere with the sensors used by autonomous vehicles to ""see"" the road and make decisions, rendering them less effective or even blind. This can pose safety risks and hinder the widespread adoption of self-driving cars, especially in regions with snowy and cold climates.",no,no,no,no,no,none,,no,yes,no,True,no,,2016,,,False,no,yes,,,,Global,,inclement weather and snow,date - report's publication,"Volvo, Drivers and passengers in autonomous cars, Google (Alphabet Inc.), Ford Motor Co",0,0,False,,Self-driving cars,"cameras, radar, lidar",transportation and storage,no,Autonomy2,automakers face in developing self-driving cars that can operate effectively in snowy and winter weather conditions. ,No. Not intentionally designed to perform harm,Self-driving vehicles,autonomous driving,,
CSETv1_Annotator-3,69,True,69,007,4. Peer review complete,002,False,yes,no,no,yes,no,no,no,no,yes,tangible harm definitively occurred,no,yes,True,none,"there was harm (one life lost), but NOT because of AI - the machine was preprogrammed to weld metal sheets that it lifted. the metal sheet was displaced and the worker was in the wrong place at the wrong time",no,no,no,no,no,none,,no,no,no,True,no,,2015,August,12,False,no,no,Manesar,Haryana,IN,Asia,,,Not AI,"Ramji Lal, SKH Metals factory, Pre-programmed robot",1,0,False,"there was harm (one life lost), but NOT because of AI - the machine was preprogrammed to weld metal sheets that it lifted. the metal sheet was displaced and the worker was in the wrong place at the wrong time",,,,,,not AI,,,,,
CSETv1_Annotator-3,68,True,68,007,4. Peer review complete,002,False,yes,no,no,yes,no,no,no,no,yes,"no tangible harm, near-miss, or issue",yes,yes,False,none,Nothing happened as the robot only fell to the pool but it could have fell on a person or child,no,no,no,no,no,none,,no,yes,no,False,no,,2017,7,17,False,no,yes,Washington,DC,US,North America,,,,"Knightscope K5 security robot, Washington harbor complex, Knightscope, Inc",0,0,False,,autonomous security robot,"audio, video, air quality, thermal imaging, lidar, radar",law enforcement,no,Autonomy1,,No. Not intentionally designed to perform harm,autonomous security robot,Patrolling,unclear,10.4 unclear
CSETv1_Annotator-3,67,False,67,007,1. Annotation in progress,,False,yes,no,no,no,no,no,no,no,yes,imminent risk of tangible harm (near miss) did occur,yes,yes,True,AI tangible harm near-miss,"The Tesla, driving 70 mph on Autopilot while the driver passed out, could very well have caused tangible harm if not for the atypical intervention by the motorcycle and highway patrol officers. ",no,no,no,no,no,none,,no,yes,no,True,no,,2018,1,19,False,yes,yes,San Francisco ,CA,US,North America,,"Self-driving vehicles, Tesla",,"unnamed Tesla owner, Tesla, Tesla",0,-1,True,perhaps an imminent risk of financial loss if the car is damaged.,Tesla Autopilot,Unclear,transportation and storage,no,Autonomy2,The driver should have been observing,No. Not intentionally designed to perform harm,Self-driving vehicles - Autopilot,"Autopilot, Driving",,
CSETv1_Annotator-3,66,True,66,007,4. Peer review complete,003,False,no,yes,no,yes,no,no,no,no,yes,"no tangible harm, near-miss, or issue",yes,yes,True,none,No tangible harm- anti-government -  sent messages that violated Chinese censorship policies.,no,no,no,no,no,none,,no,yes,yes,True,no,,2017,08,03,True,no,no,,,CN,Asia,,,,"XiaoBing , BabyQ , Chinese Communist Party,  Tencent (Chinese Internet giant), Turing Robot Company, BabyQ and XiaoBing users",0,0,False,,Chatbots ,text,information and communication,no,Autonomy1,,No. Not intentionally designed to perform harm,,Chatbot,,
CSETv1_Annotator-3,64,True,64,007,4. Peer review complete,003,False,yes,no,no,yes,no,yes,no,yes,yes,"no tangible harm, near-miss, or issue",yes,yes,True,none,,no,no,no,no,no,none,,no,yes,yes,True,no,,2018,,,True,no,yes,,,GB,Europe,,,Date of publication of news article," Fabio the robot, Margiotta supermarket, BBC \""six robots and us\, Margiotta's customers, Heriot-Watt University",0,0,False,,Robot,speech,wholesale and retail trade,no,Autonomy1,,No. Not intentionally designed to perform harm,Robot in supermarket,robotics,unclear,
CSETv1_Annotator-3,63,True,63,007,4. Peer review complete,003,False,no,yes,no,yes,no,no,no,no,no,"no tangible harm, near-miss, or issue",yes,yes,True,none,NO harm,no,no,no,no,no,none,,no,yes,no,False,no,,2016,3,23,True,no,no,,,Ca,North America,,,,"Google Photos users, Google, Google photo ",0,0,False,,Google photo assistant misedited a photo,photos,"Arts, entertainment and recreation",no,Autonomy1,,No. Not intentionally designed to perform harm,,"image recognition, photo manipulation tools",,image recognition and organization - misrecognized
CSETv1_Annotator-3,23,True,23,007,3. In peer review,003,False,yes,no,no,yes,no,no,no,no,yes,tangible harm definitively occurred,yes,yes,True,AI tangible harm event,"The accident was first and foremost caused by the truck driver who backed out of an alley without checking the environment. However, according to the passengers, the self-driving shuttle could have prevented the collision by backing out of the way or honking to get the driver’s attention. Both are safe driving behaviors that a human driver would likely have taken. While the AI is not at fault per se the accident could have been avoided if it had behaved differently.",no,no,no,no,no,none,,no,yes,no,True,no,,2017,1,10,False,no,yes,Las Vegas,NV,US,North America,,,,"self-driving shuttle in Las Vegas, Keolis, AAA, Navya, Truck, Driver",0,0,False,,,,transportation and storage,no,Autonomy1,,No. Not intentionally designed to perform harm,Self-driving shuttle,,,
CSETv1_Annotator-3,101,True,101,007,4. Peer review complete,003,False,no,no,no,yes,no,no,no,no,yes,tangible harm definitively occurred,yes,yes,True,AI tangible harm event,financial harm and intangible harm,yes,yes,yes,no,yes,"nation of origin, citizenship, immigrant status",,yes,yes,yes,True,yes,,2013,,,False,no,no,,,NL,Europe,,,,"Dutch Tax Authority, Childcare benefits recipients, Immigrant childcare benefits recipients , Fraud prediction algorithm, Dutch Data Protection Authority, Trouw",0,0,False,financial harm,Self-learning algorithm deployed by the tax administration to create risk profiles of welfare recipients in an effort to spot childcare benefits fraud.,,public administration,yes,Autonomy3,,No. Not intentionally designed to perform harm,,fraud risk prediction,,
CSETv1_Annotator-3,103,True,103,007,2. Initial annotation complete,,False,no,,yes,yes,no,no,no,yes,yes,"no tangible harm, near-miss, or issue",yes,yes,False,none,Intangible harm,yes,no,no,no,yes,"race, sex",,yes,yes,yes,True,yes,,2021,5,,True,no,no,,,,Global,,,,"Twitter Users, Twitter, Twitter image cropping algorithm",0,0,False,,Twitter image cropping algorithm,images,information and communication,no,Autonomy1,,No. Not intentionally designed to perform harm,,image cropping,,
CSETv1_Annotator-3,104,False,104,007,1. Annotation in progress,,False,no,no,no,yes,no,no,no,no,yes,unclear,yes,yes,True,AI tangible harm issue,It is unclear from the article if tangible harm actually occurred ,yes,maybe,no,no,no,geography,,yes,yes,yes,True,yes,,2021,,,True,no,no,,CA,US,North America,healthcare and public health,,,"California's Department of Public Health , California low-income neighborhoods, California's Department of Public Health algorithm to distribute COVID-19 vaccines based on ZIP codes",,0,True,It is unclear how many people might have been sick because of not receiving the covid vaccine due to the algorithm,California's Department of Public Health algorithm distributing COVID-19 vaccines based on ZIP codes,Zip codes,"public administration, administrative and support service activities",yes,Autonomy2,,No. Not intentionally designed to perform harm,,,,
CSETv1_Annotator-3,106,False,106,007,1. Annotation in progress,,False,no,no,no,yes,no,no,no,no,yes,"no tangible harm, near-miss, or issue",yes,yes,False,none,,no,no,no,yes,yes,sexual orientation or gender identity,,yes,yes,yes,True,yes,,2021,,,True,no,no,,,KR,Asia,,,,"Scatter Lab, Kim Jong-yoon , Scatter Lab users, AI chatbot, Lee Luda",0,0,False,,Chat-bot,text,information and communication,no,Autonomy1,,No. Not intentionally designed to perform harm,,,,
CSETv1_Annotator-3,108,True,108,007,2. Initial annotation complete,,False,no,no,no,yes,no,no,no,no,yes,"no tangible harm, near-miss, or issue",yes,no,False,none,,no,yes,no,no,yes,race,,yes,yes,yes,True,yes,,2021,,,True,no,no,Livonia,MI,US,North America,,,,"Riverside Arena Skating Rink, Lamya Robinson, Facial recognition used in Riverside Arena",0,0,False,,facial recognition software,face image,"Arts, entertainment and recreation",no,unclear,,,,facial recognition,,
CSETv1_Annotator-3,109,True,109,007,2. Initial annotation complete,,False,no,no,no,yes,no,no,no,no,yes,unclear,yes,yes,False,unclear,"It's possible that harm could occur as a result of using PimEyes, depending on how it's used. The site's powerful facial recognition capabilities could potentially be used for malicious purposes, such as stalking or identifying individuals without their consent. Additionally, if the site's database is breached or hacked, users' personal information and images could be compromised. It's important to consider the potential risks before using any technology that involves personal data and privacy.

",no,maybe,no,no,maybe,unclear,,maybe,yes,yes,False,maybe,,2023,,,True,no,no,,,PL,Europe,unclear,,,"PimEyes, PimEyes software, PimEyes users",0,0,True,,Facial recognition software,Unclear,information and communication,no,Autonomy1,,No. Not intentionally designed to perform harm,,facial-recognition,,
CSETv1_Annotator-3,12,True,12,007,4. Peer review complete,003,False,no,no,yes,no,no,no,yes,no,no,"no tangible harm, near-miss, or issue",yes,yes,False,none,,no,no,no,no,yes,sex,gender bias,yes,yes,yes,True,maybe,,2016,7,21,True,no,no,,,US,North America,,,"Publication date.
Research about the issue of gender bias is present in machine learning frameworks, specifically word embeddings, which represent text data as vectors. The study shows that word embeddings trained on Google News articles exhibit male/female gender stereotypes to a significant degree, and their widespread use can amplify these biases. The researchers develop a methodology to modify an embedding to remove gender stereotypes while maintaining desired associations. They define metrics to quantify direct and indirect gender biases and demonstrate that their algorithms significantly reduce gender bias in embeddings while preserving useful properties.","Womem, Word embeddings, Tolga Bolukbasi, Kai-Wei Chang, James Zou, Venkatesh Saligrama, Adam Kalai",0,0,False,,word embeddings trained on Google News articles,words,information and communication,no,Autonomy1,,No. Not intentionally designed to perform harm,,natural language processing,unclear,machine learning models - word embeddings trained on Google News articles 
CSETv1_Annotator-3,13,True,13,007,4. Peer review complete,003,False,no,no,no,yes,no,no,no,yes,no,"no tangible harm, near-miss, or issue",yes,yes,False,none,,no,no,no,no,yes,"race, religion, sex, nation of origin, citizenship, immigrant status","Google's sister company, Jigsaw, has created a tool called ""Perspective"" that uses machine learning to identify online hate speech. The software has been opened up to external developers but has been criticized by researchers from Washington University for categorizing innocuous phrases as toxic while ignoring more overtly hateful comments. ",yes,yes,yes,True,yes,,2017,,,True,no,no,,,US,North America,,,,"Google, Google - Perspective, University of Washington - electrical engineers and security experts ",0,0,False,,"Google's Perspective project, a machine learning-based system to identify toxic comments in online discussion forums",text,information and communication,no,Autonomy1,,No. Not intentionally designed to perform harm,,hate speech detector,unclear,The system uses a combination of natural language processing techniques and machine learning algorithms to analyze text and identify language that is hateful or harmful.
